iter	Logloss
0	0.6905096672
1	0.6872415712
2	0.6836179123
3	0.6787819582
4	0.6763099396
5	0.6737169548
6	0.6702502253
7	0.6673340688
8	0.6640805546
9	0.6625726653
10	0.6602388758
11	0.6590164569
12	0.6566192192
13	0.6551720371
14	0.6539782039
15	0.6516644107
16	0.6486673514
17	0.6460457163
18	0.6435353534
19	0.6413889723
20	0.6395633634
21	0.6375854183
22	0.6358953929
23	0.6342809297
24	0.6333732583
25	0.6312037903
26	0.6295865678
27	0.6283979145
28	0.6271211119
29	0.6256897425
30	0.6245404611
31	0.623766726
32	0.622409799
33	0.6213377965
34	0.6200427663
35	0.6189165871
36	0.6183032221
37	0.6172244565
38	0.6165431849
39	0.6156834087
40	0.6142041094
41	0.6138340909
42	0.6132758974
43	0.6124015626
44	0.6112789364
45	0.6101736612
46	0.6096135262
47	0.6093140012
48	0.608230986
49	0.6077465466
50	0.6071696975
51	0.6063279047
52	0.6055868071
53	0.6051521851
54	0.6047983153
55	0.6041157685
56	0.6035325134
57	0.6029996858
58	0.6024553938
59	0.6020589582
60	0.6014243982
61	0.6009934041
62	0.5998464509
63	0.5992662183
64	0.5985258693
65	0.5983180265
66	0.5982068878
67	0.5977939976
68	0.5970065313
69	0.5966071503
70	0.5958534314
71	0.5957191589
72	0.5954773141
73	0.5948836183
74	0.5942057842
75	0.5937513955
76	0.5932240549
77	0.5929043145
78	0.5926339525
79	0.59229795
80	0.5917728943
81	0.5913143828
82	0.5907567484
83	0.5903416053
84	0.5899711019
85	0.5895994435
86	0.5889078761
87	0.5885947038
88	0.5883154275
89	0.5881380031
90	0.5878268837
91	0.5874441356
92	0.5869378129
93	0.5864541766
94	0.5862988385
95	0.5859857839
96	0.5858411236
97	0.5856155323
98	0.5851146665
99	0.5848475763
100	0.5846527755
101	0.5844646201
102	0.584333792
103	0.5838554812
104	0.583517997
105	0.5831205712
106	0.5828923546
107	0.5825748194
108	0.5821736607
109	0.5816373954
110	0.5814234772
111	0.5811776021
112	0.5809604666
113	0.5809216044
114	0.5806964619
115	0.5805706176
116	0.5804172735
117	0.5801024169
118	0.5798681428
119	0.5794583136
120	0.5790719669
121	0.5790147221
122	0.5785435256
123	0.5783026703
124	0.5780801778
125	0.5780094095
126	0.5779102742
127	0.5776794884
128	0.5774805914
129	0.5773124654
130	0.5772025856
131	0.576888861
132	0.5767685397
133	0.5764161951
134	0.5762102275
135	0.5760021516
136	0.5758478501
137	0.5756818282
138	0.5755146933
139	0.5750668861
140	0.5749610615
141	0.5747939702
142	0.5746131331
143	0.5744630901
144	0.5742350277
145	0.5740815306
146	0.5736630726
147	0.573553847
148	0.573255749
149	0.5728200309
150	0.5725334131
151	0.5723087386
152	0.5722313711
153	0.5717883715
154	0.5714379753
155	0.5712416262
156	0.5710675531
157	0.5708495245
158	0.5706068443
159	0.5702166781
160	0.5699818838
161	0.5698362215
162	0.5697188678
163	0.5694211009
164	0.5692828556
165	0.5691178513
166	0.5686971823
167	0.5683336992
168	0.5682743097
169	0.5681415851
170	0.5679676138
171	0.5676098219
172	0.5675046226
173	0.5673031177
174	0.5671190324
175	0.5670353043
176	0.5670252404
177	0.5665392993
178	0.5664006807
179	0.5662644815
180	0.5659360548
181	0.5656589274
182	0.5655617172
183	0.5654247174
184	0.5652379947
185	0.5651339028
186	0.5649571954
187	0.5647852491
188	0.5646497481
189	0.5644909895
190	0.5643986061
191	0.5641664105
192	0.5640095198
193	0.5638560494
194	0.5638300638
195	0.5637032605
196	0.5634711137
197	0.5632122075
198	0.5631151682
199	0.5629328348
200	0.5628921482
201	0.5626769315
202	0.5625661543
203	0.5624804336
204	0.5623650949
205	0.5621368871
206	0.5619664952
207	0.561828826
208	0.5617697056
209	0.5616083585
210	0.5614925331
211	0.5612798286
212	0.5611490665
213	0.5610912783
214	0.5608575856
215	0.5607904738
216	0.5606870296
217	0.5606093516
218	0.560288925
219	0.560232342
220	0.5601290536
221	0.560106521
222	0.5600222698
223	0.5599704363
224	0.5599001545
225	0.5596876515
226	0.5595021401
227	0.5592732508
228	0.5591952463
229	0.5591517254
230	0.5590200699
231	0.5590067039
232	0.5589760832
233	0.5587357459
234	0.5586027044
235	0.5585538932
236	0.5583318209
237	0.5581525513
238	0.5580091373
239	0.5578576278
240	0.5577461788
241	0.5576358102
242	0.5574301069
243	0.5573478946
244	0.5572235911
245	0.5570819953
246	0.557016922
247	0.5568429413
248	0.5567607332
249	0.5566003192
250	0.5564871076
251	0.5563943999
252	0.5562983657
253	0.5562548983
254	0.5561909314
255	0.5559657547
256	0.5559168549
257	0.5558094919
258	0.555549554
259	0.5552473784
260	0.5551536988
261	0.5550311617
262	0.5547471794
263	0.5546157126
264	0.5545497995
265	0.5544937767
266	0.5543913156
267	0.5543532791
268	0.5542817244
269	0.5540360311
270	0.5539063582
271	0.5538972611
272	0.5538059793
273	0.5537364357
274	0.5537111305
275	0.5536287707
276	0.5534768111
277	0.5534547126
278	0.5533842091
279	0.5532952604
280	0.5532111122
281	0.5530363078
282	0.5528826886
283	0.5527629628
284	0.5527008225
285	0.5526341119
286	0.5525758798
287	0.5524517658
288	0.5523898957
289	0.5521421952
290	0.5519263372
291	0.551634133
292	0.5515744792
293	0.5513251189
294	0.5512727448
295	0.5512049282
296	0.5510195091
297	0.5509302272
298	0.5507773325
299	0.550692137
300	0.55063641
301	0.5504172088
302	0.5503945596
303	0.5503392423
304	0.5502668259
305	0.5501341643
306	0.5500495427
307	0.5500216553
308	0.5499872915
309	0.5498625026
310	0.5497802982
311	0.5497157455
312	0.5494853219
313	0.5492636387
314	0.5491943304
315	0.5489821043
316	0.5488984964
317	0.5488089314
318	0.5487250944
319	0.5486108783
320	0.5485598505
321	0.5485114214
322	0.54837457
323	0.5482228811
324	0.5481746754
325	0.5480552766
326	0.5480498253
327	0.547947184
328	0.5479339906
329	0.5478288508
330	0.5477529105
331	0.5476129742
332	0.547440252
333	0.5473636325
334	0.5472845442
335	0.5471773396
336	0.5470811284
337	0.5470508188
338	0.5469864191
339	0.5467230505
340	0.5466186241
341	0.5465361808
342	0.5461039766
343	0.5460336181
344	0.5458703528
345	0.545792704
346	0.5457405715
347	0.545698191
348	0.545611157
349	0.5453305619
350	0.5450682023
351	0.5449993539
352	0.5449613082
353	0.5447568861
354	0.5442748652
355	0.5442167018
356	0.5440484985
357	0.5439725878
358	0.5438044346
359	0.5437416906
360	0.5434148256
361	0.5433527712
362	0.5432630783
363	0.5431422868
364	0.5429931717
365	0.5428857038
366	0.5427839627
367	0.5425697012
368	0.5423943616
369	0.542337094
370	0.542229681
371	0.5419996296
372	0.5419472962
373	0.5418066661
374	0.5415752056
375	0.5414192529
376	0.5411609125
377	0.5410809331
378	0.5410021261
379	0.5407590585
380	0.5405817407
381	0.5404299621
382	0.5403044927
383	0.5402174499
384	0.5399749756
385	0.53987669
386	0.5397830836
387	0.5397226364
388	0.5394888724
389	0.5394858294
