iter	Passed	Remaining
0	1	1546
1	2	1490
2	4	1508
3	5	1452
4	7	1412
5	8	1379
6	9	1357
7	10	1353
8	12	1345
9	13	1340
10	14	1330
11	16	1333
12	17	1348
13	19	1348
14	20	1360
15	22	1361
16	23	1360
17	24	1357
18	26	1352
19	27	1346
20	28	1338
21	29	1331
22	31	1326
23	32	1321
24	34	1327
25	35	1332
26	37	1334
27	38	1329
28	39	1327
29	40	1325
30	42	1322
31	43	1318
32	44	1313
33	46	1312
34	47	1308
35	48	1304
36	49	1300
37	51	1307
38	53	1316
39	54	1316
40	56	1316
41	57	1312
42	58	1312
43	60	1310
44	61	1306
45	62	1303
46	64	1301
47	65	1298
48	66	1298
49	68	1299
50	69	1297
51	71	1296
52	72	1293
53	73	1290
54	75	1292
55	76	1289
56	77	1287
57	79	1286
58	80	1283
59	81	1281
60	83	1282
61	84	1284
62	86	1284
63	87	1284
64	89	1281
65	90	1278
66	91	1278
67	93	1275
68	94	1273
69	95	1272
70	97	1270
71	98	1267
72	99	1266
73	101	1265
74	102	1265
75	104	1264
76	105	1261
77	106	1259
78	107	1259
79	109	1256
80	110	1255
81	112	1255
82	113	1252
83	114	1249
84	115	1247
85	117	1248
86	118	1247
87	120	1245
88	121	1243
89	122	1242
90	124	1240
91	125	1239
92	126	1238
93	128	1236
94	129	1234
95	131	1234
96	132	1233
97	134	1234
98	135	1232
99	136	1229
100	137	1227
101	139	1225
102	140	1223
103	141	1222
104	143	1220
105	145	1225
106	146	1223
107	147	1221
108	149	1218
109	150	1218
110	152	1218
111	153	1216
112	154	1214
113	156	1213
114	157	1213
115	158	1211
116	160	1209
117	161	1207
118	162	1205
119	164	1202
120	165	1200
121	167	1201
122	168	1199
123	169	1198
124	170	1196
125	172	1194
126	173	1193
127	175	1192
128	176	1190
129	177	1190
130	179	1188
131	180	1186
132	181	1184
133	183	1183
134	184	1181
135	185	1178
136	186	1176
137	188	1175
138	189	1174
139	191	1174
140	192	1172
141	193	1170
142	195	1168
143	196	1167
144	197	1165
145	199	1166
146	200	1164
147	201	1162
148	203	1161
149	204	1160
150	206	1160
151	207	1159
152	209	1158
153	210	1157
154	211	1155
155	213	1153
156	214	1151
157	216	1151
158	217	1149
159	218	1149
160	220	1148
161	221	1146
162	223	1145
163	224	1143
164	225	1141
165	226	1139
166	228	1138
167	229	1136
168	230	1134
169	232	1134
170	233	1132
171	234	1130
172	236	1129
173	237	1127
174	238	1125
175	240	1124
176	241	1124
177	243	1122
178	244	1120
179	245	1118
180	246	1116
181	248	1116
182	249	1115
183	251	1113
184	252	1111
185	253	1109
186	254	1107
187	256	1106
188	257	1105
189	258	1103
190	260	1102
191	261	1100
192	262	1098
193	264	1097
194	265	1096
195	266	1094
196	268	1092
197	269	1091
198	270	1089
199	271	1087
200	273	1086
201	274	1084
202	275	1082
203	277	1082
204	278	1080
205	279	1079
206	281	1077
207	282	1075
208	283	1073
209	285	1072
210	286	1070
211	287	1068
212	288	1067
213	290	1065
214	291	1063
215	292	1062
216	293	1060
217	295	1059
218	296	1057
219	298	1056
220	299	1055
221	300	1054
222	302	1053
223	303	1051
224	304	1050
225	306	1048
226	307	1047
227	308	1045
228	310	1044
229	311	1042
230	312	1041
231	314	1041
232	316	1040
233	317	1039
234	319	1038
235	320	1036
236	321	1035
237	323	1034
238	324	1033
239	325	1032
240	327	1030
241	328	1028
242	329	1027
243	331	1026
244	332	1024
245	333	1022
246	334	1021
247	336	1019
248	337	1017
249	338	1016
250	340	1015
251	341	1014
252	343	1013
253	344	1011
254	345	1009
255	346	1008
256	348	1006
257	349	1005
258	350	1004
259	352	1002
260	353	1001
261	355	1000
262	356	999
263	357	997
264	359	996
265	360	994
266	361	993
267	363	991
268	364	990
269	365	988
270	366	986
271	368	985
272	369	983
273	370	982
274	371	980
275	373	978
276	374	976
277	375	974
278	376	973
279	378	972
280	379	970
281	380	969
282	381	967
283	383	966
284	384	964
285	385	962
286	386	961
287	388	960
288	389	958
289	390	957
290	392	955
291	393	954
292	394	952
293	396	951
294	397	950
295	398	948
296	400	947
297	402	947
298	403	946
299	405	945
300	406	944
301	407	942
302	409	941
303	410	940
304	412	938
305	413	937
306	414	936
307	415	934
308	417	932
309	418	931
310	419	930
311	421	928
312	422	927
313	423	925
314	424	924
315	426	922
316	427	921
317	429	920
318	430	918
319	431	917
320	432	915
321	434	914
322	435	912
323	436	911
324	438	909
325	439	908
326	440	907
327	441	905
328	443	904
329	444	902
330	445	901
331	447	899
332	448	898
333	449	897
334	451	895
335	452	893
336	453	892
337	454	891
338	456	889
339	457	888
